date,open,high,low,close,volume
2025-05-14,525.0,551.2,523.1,551.2,353755.0
2025-05-15,578.7,578.7,578.7,578.7,215980.0
2025-05-16,607.6,607.6,607.6,607.6,101665.0
2025-05-19,637.9,637.9,637.9,637.9,169024.0
2025-05-20,667.0,669.7,650.7,669.7,1047956.0
2025-05-21,664.7,703.1,637.7,689.2,574677.0
2025-05-22,689.2,690.0,659.1,664.3,234200.0
2025-05-23,659.0,663.1,631.1,634.7,226844.0
2025-05-26,634.8,639.7,610.1,627.4,129972.0
2025-05-27,627.0,639.0,620.4,633.7,86601.0
2025-05-28,643.1,648.0,615.1,619.2,427847.0
2025-05-29,628.0,628.0,611.0,614.5,205879.0
2025-05-30,614.5,637.0,608.5,629.9,516798.0
2025-06-02,633.5,633.9,618.2,621.1,233815.0
2025-06-03,621.05,621.05,606.3,610.45,302150.0
2025-06-04,615.7,624.7,606.05,615.1,308900.0
2025-06-05,620.55,627.0,615.2,617.75,118551.0
2025-06-06,621.8,621.8,612.1,617.15,162657.0
2025-06-09,622.95,626.95,618.0,619.8,157143.0
2025-06-10,622.95,622.95,613.15,617.55,206020.0
2025-06-11,610.05,617.45,607.2,607.95,265579.0
2025-06-12,612.0,612.3,594.0,603.2,327231.0
2025-06-13,600.0,601.0,587.3,591.45,226969.0
2025-06-16,587.8,597.6,575.0,592.95,210574.0
2025-06-17,593.95,599.65,585.3,592.65,175202.0
2025-06-18,590.85,617.6,588.5,601.9,517977.0
2025-06-19,608.9,608.9,582.0,586.15,277861.0
2025-06-20,586.0,592.8,578.0,587.5,252452.0
2025-06-23,587.5,616.75,578.0,601.1,644374.0
2025-06-24,605.35,610.6,594.3,599.5,273054.0
2025-06-25,601.65,604.7,594.6,600.45,184996.0
2025-06-26,606.55,608.5,596.3,598.95,237689.0
2025-06-27,604.5,635.0,598.0,624.35,1284525.0
2025-06-30,629.75,717.95,627.45,709.4,17937459.0
2025-07-01,719.95,771.4,715.65,757.0,24781077.0
2025-07-02,765.0,783.9,751.65,758.0,11050415.0
2025-07-03,758.0,763.0,716.35,724.45,3300370.0
2025-07-04,724.0,724.9,700.75,712.9,1634777.0
2025-07-07,716.4,717.9,699.5,703.0,606255.0
2025-07-08,706.0,731.7,686.2,707.4,1706784.0
2025-07-09,711.85,711.85,694.0,697.9,649511.0
2025-07-10,697.9,704.85,689.1,693.4,374973.0
2025-07-11,693.0,708.95,691.2,697.7,546632.0
2025-07-14,698.0,699.8,681.1,686.7,399397.0
2025-07-15,689.1,703.0,688.0,696.55,430343.0
2025-07-17,710.2,712.4,691.0,696.7,404636.0
2025-07-18,700.0,734.0,693.05,718.8,1173180.0
2025-07-21,720.35,753.0,716.3,738.5,3732589.0
2025-07-22,740.0,740.0,718.1,722.1,520912.0
2025-07-23,727.0,727.0,698.65,712.5,543091.0
2025-07-24,715.0,731.15,711.15,719.5,609280.0
2025-07-25,719.5,719.75,696.05,703.1,392421.0
2025-07-28,702.9,702.9,681.2,686.1,365436.0
2025-07-29,684.0,695.0,668.3,687.95,365370.0
2025-07-30,689.0,701.6,680.3,683.6,286972.0
2025-07-31,671.25,680.0,660.6,668.6,293604.0
2025-08-01,668.6,674.1,654.0,656.95,229349.0
2025-08-04,657.25,658.0,637.0,639.3,336107.0
2025-08-05,639.3,654.55,627.25,630.8,404474.0
2025-08-06,635.0,658.0,619.0,643.25,1046406.0
2025-08-07,625.0,635.2,620.35,632.1,459834.0
2025-08-08,633.0,634.2,613.0,618.85,244606.0
2025-08-11,615.2,622.3,602.95,611.9,396521.0
2025-08-12,614.0,628.0,611.5,614.35,269947.0
2025-08-13,614.3,621.8,607.1,609.85,159422.0
2025-08-14,612.05,619.25,605.0,611.95,209308.0
2025-08-18,615.0,622.2,609.3,612.3,251056.0
2025-08-19,615.35,665.0,615.0,654.75,1991385.0
2025-08-20,654.75,679.0,646.55,652.15,1272225.0
2025-08-21,652.15,653.8,628.5,633.0,495285.0
2025-08-22,632.85,632.85,618.0,621.15,368048.0
2025-08-25,624.4,632.95,618.75,628.0,265285.0
2025-08-26,622.0,628.0,615.3,618.8,212338.0
2025-08-28,616.0,616.0,601.2,606.05,246463.0
2025-08-29,607.9,611.0,598.0,599.6,183596.0
2025-09-01,605.6,611.55,600.4,603.15,366370.0
2025-09-02,609.0,618.0,603.25,610.0,270530.0
2025-09-03,610.0,621.45,607.45,615.05,288316.0
2025-09-04,625.0,642.2,605.8,610.7,317348.0
2025-09-05,615.7,618.9,607.25,611.7,159538.0
2025-09-08,615.0,618.0,606.25,607.65,126632.0
2025-09-09,615.0,617.45,606.5,611.8,215231.0
2025-09-10,617.7,631.95,617.7,622.95,413580.0
2025-09-11,624.8,628.65,616.3,618.9,109277.0
2025-09-12,621.4,623.95,613.0,614.65,167134.0
2025-09-15,616.0,634.1,616.0,622.25,256474.0
2025-09-16,622.25,633.0,620.65,628.3,218598.0
2025-09-17,630.25,634.95,620.0,622.6,217545.0
2025-09-18,628.0,628.1,620.25,624.75,139985.0
2025-09-19,628.0,629.95,619.5,620.55,182672.0
2025-09-22,621.3,626.7,616.35,618.6,168471.0
2025-09-23,620.95,641.9,619.4,624.7,443581.0
2025-09-24,629.7,629.7,617.55,618.9,147745.0
2025-09-25,618.0,619.05,611.25,616.4,103245.0
2025-09-26,611.15,620.8,601.65,607.15,166106.0
2025-09-29,609.0,609.0,570.0,575.25,767918.0
2025-09-30,584.05,586.95,569.45,573.75,282756.0
2025-10-01,577.7,592.0,570.1,582.55,162890.0
2025-10-03,594.0,595.0,579.5,588.3,172305.0
2025-10-06,590.0,592.35,579.0,581.25,151310.0
2025-10-07,584.95,588.5,578.4,583.2,146618.0
2025-10-08,583.2,587.1,574.65,577.3,154072.0
2025-10-09,583.0,584.0,575.2,577.45,129573.0
2025-10-10,581.0,585.55,575.8,579.55,146885.0
2025-10-13,580.65,580.65,571.0,573.3,129793.0
2025-10-14,577.8,580.0,568.2,570.15,154390.0
2025-10-15,573.9,581.1,570.0,578.9,123497.0
2025-10-16,582.35,592.4,580.05,585.25,217369.0
2025-10-17,587.1,590.85,573.65,576.45,191993.0
2025-10-20,579.5,579.55,569.15,573.2,151761.0
2025-10-21,577.9,584.35,576.95,581.85,68589.0
2025-10-23,588.0,597.4,575.5,578.9,262988.0
2025-10-24,581.45,581.75,574.75,576.25,95026.0
2025-10-27,571.5,593.4,571.5,590.75,358582.0
2025-10-28,583.15,583.95,574.2,576.15,359985.0
2025-10-29,579.0,591.55,575.0,587.05,323557.0
2025-10-30,591.0,593.2,578.3,580.9,115075.0
2025-10-31,580.9,582.0,572.65,574.05,183488.0
2025-11-03,576.8,578.0,568.3,575.4,162871.0
2025-11-04,575.3,577.8,567.35,571.5,130535.0
2025-11-06,571.9,573.95,560.7,563.45,132608.0
2025-11-07,561.0,562.95,553.9,557.05,180946.0
2025-11-10,558.7,564.25,550.0,551.25,148266.0
2025-11-11,550.95,550.95,532.6,545.65,248840.0
2025-11-12,548.35,548.35,536.3,537.65,207215.0
2025-11-13,537.55,543.95,530.0,531.65,227144.0
2025-11-14,529.7,529.7,518.95,522.35,342347.0
2025-11-17,523.0,523.0,512.5,514.3,301088.0
2025-11-18,514.1,515.3,500.0,500.9,427730.0
2025-11-19,500.75,512.0,493.45,507.35,423679.0
2025-11-20,507.5,512.95,500.6,509.1,292461.0
2025-11-21,508.5,509.1,495.0,496.0,270800.0
2025-11-24,495.75,498.95,455.5,466.85,1562761.0
2025-11-25,464.85,490.0,462.6,487.0,700650.0
2025-11-26,485.0,492.2,480.5,490.35,373882.0
2025-11-27,489.0,504.45,484.0,485.7,313637.0
2025-11-28,487.0,488.1,478.9,482.75,145835.0
2025-12-01,482.75,484.95,472.0,478.25,205622.0
2025-12-02,480.6,481.3,473.7,476.0,136713.0
2025-12-03,478.0,478.0,465.9,468.0,165546.0
2025-12-04,468.0,472.0,463.0,466.45,143173.0
2025-12-05,466.45,466.55,454.0,455.3,189940.0
2025-12-08,455.05,455.05,440.5,445.35,246065.0
2025-12-09,440.0,455.0,433.05,451.8,240747.0
2025-12-10,451.8,460.35,445.35,446.7,147827.0
2025-12-11,449.1,452.0,440.35,451.1,115824.0
2025-12-12,452.1,456.85,450.1,451.9,122783.0
2025-12-15,451.9,458.0,448.0,454.45,152806.0
2025-12-16,458.0,458.0,441.4,444.5,315462.0
2025-12-17,444.5,445.3,426.25,433.6,394758.0
2025-12-18,433.95,434.0,424.5,425.7,201055.0
2025-12-19,427.7,431.4,422.65,424.85,249135.0
2025-12-22,425.9,443.2,425.9,431.8,313844.0
2025-12-23,433.95,438.0,430.4,432.75,269529.0
2025-12-24,432.75,436.0,422.0,429.75,404900.0
2025-12-26,430.3,435.7,420.2,421.7,486699.0
2025-12-29,422.55,424.1,411.5,413.75,288780.0
2025-12-30,416.0,418.2,411.0,417.2,174952.0
2025-12-31,417.2,430.35,415.15,427.25,321860.0
2026-01-01,430.0,430.5,422.75,425.6,125090.0
2026-01-02,426.9,437.85,425.25,436.5,220325.0
2026-01-05,437.0,440.7,428.0,430.15,142121.0
2026-01-06,432.4,434.95,423.7,424.9,128542.0
2026-01-07,424.7,427.8,422.5,425.9,115462.0
2026-01-08,427.5,428.35,415.25,417.05,161792.0
2026-01-09,417.0,417.05,406.0,407.45,208158.0
2026-01-12,407.45,407.55,397.95,404.2,241758.0
2026-01-13,407.0,411.2,400.5,402.8,158941.0
2026-01-14,402.8,412.0,401.1,403.2,194593.0
2026-01-16,406.45,407.65,393.75,395.8,224489.0
2026-01-19,393.9,395.25,390.2,393.4,147346.0
2026-01-20,393.4,396.9,380.0,383.0,541230.0
2026-01-21,383.0,395.9,378.6,386.15,650022.0
2026-01-22,387.0,394.0,379.0,381.4,240606.0
2026-01-23,383.0,384.0,367.15,369.7,248725.0
2026-01-27,371.55,420.0,361.0,387.7,3175689.0
2026-01-28,392.0,394.85,383.5,387.2,407882.0
2026-01-29,387.2,387.5,372.0,373.9,385400.0
2026-01-30,372.1,402.0,365.1,379.95,1869208.0
2026-02-01,385.0,411.85,379.9,393.7,924905.0
2026-02-02,393.7,393.7,377.5,387.45,374895.0
2026-02-03,419.15,428.25,403.75,410.95,1354393.0
2026-02-04,412.6,422.1,407.95,417.7,394504.0
2026-02-05,418.0,418.0,403.1,405.4,243457.0
2026-02-06,406.25,406.6,392.0,403.7,322472.0
2026-02-09,405.0,423.0,402.25,416.7,726243.0
2026-02-10,419.9,430.5,416.8,421.35,570676.0
2026-02-11,424.9,424.9,406.0,408.2,259673.0
2026-02-12,410.0,410.0,397.6,403.3,280690.0
2026-02-13,402.95,407.95,391.3,398.25,488525.0
2026-02-16,396.65,396.65,388.9,391.45,209610.0
2026-02-17,389.25,407.0,388.0,403.4,415330.0
2026-02-18,406.05,408.6,400.1,403.2,145332.0
2026-02-19,403.15,404.95,389.1,394.1,269740.0
2026-02-20,392.45,400.45,391.0,398.55,189748.0
2026-02-23,401.05,405.85,393.3,403.25,216740.0
2026-02-24,400.0,403.15,394.0,400.95,188285.0
2026-02-25,400.0,404.0,394.8,397.6,204207.0
2026-02-26,398.65,414.0,398.1,405.2,351969.0
2026-02-27,406.0,406.05,398.0,400.8,198840.0
2026-03-02,376.0,403.95,376.0,390.7,391014.0
2026-03-04,386.0,395.65,376.2,380.35,367520.0
2026-03-05,383.95,394.0,376.4,390.45,377864.0
2026-03-06,390.5,391.95,377.1,380.7,485747.0
2026-03-09,377.0,379.0,362.7,371.15,464744.0
2026-03-10,375.0,379.8,367.9,374.65,397765.0
2026-03-11,380.25,384.75,374.05,378.3,280726.0
2026-03-12,378.3,384.0,368.75,377.95,228666.0
2026-03-13,376.0,376.0,352.85,355.45,397735.0
2026-03-16,357.45,360.55,343.15,351.85,492272.0
2026-03-17,351.85,354.9,346.95,352.05,203093.0
2026-03-18,355.0,382.0,354.1,376.9,651752.0
2026-03-19,370.25,404.6,366.55,369.65,1090251.0
2026-03-20,371.1,382.0,370.0,372.95,292668.0
2026-03-23,361.75,365.2,345.2,347.55,562589.0
2026-03-24,354.55,358.0,347.55,350.85,434820.0
2026-03-25,355.0,364.95,352.6,354.5,337169.0
2026-03-27,352.0,353.05,336.4,342.55,525826.0
2026-03-30,336.7,343.0,320.0,321.85,585808.0
2026-04-01,326.1,354.95,326.1,350.8,648889.0
2026-04-02,348.35,353.45,333.95,351.0,366224.0
2026-04-06,353.0,355.0,340.7,352.3,270441.0
2026-04-07,352.0,359.5,346.55,353.25,254083.0
2026-04-08,383.0,383.0,356.35,368.5,958980.0
2026-04-09,368.5,376.7,361.7,366.75,315169.0
2026-04-10,370.9,389.0,370.9,386.3,638742.0
2026-04-13,384.0,403.8,373.95,397.25,869495.0
2026-04-15,404.9,424.1,399.0,420.1,992016.0
2026-04-16,423.0,426.5,413.2,421.05,495347.0
2026-04-17,425.0,425.3,417.55,422.4,409639.0
2026-04-20,425.0,438.0,414.35,420.7,521209.0
2026-04-21,421.9,453.55,421.3,447.55,1249389.0
2026-04-22,447.0,459.6,441.65,455.2,615331.0
2026-04-23,453.65,457.95,441.95,443.8,340241.0
2026-04-24,445.1,450.0,431.1,434.2,398507.0
2026-04-27,437.9,466.4,435.3,461.1,799856.0
2026-04-28,464.85,483.4,462.4,471.85,823203.0
2026-04-29,474.75,483.95,462.0,464.5,542301.0
2026-04-30,464.5,470.0,451.2,465.8,388103.0
2026-05-04,471.6,472.9,459.45,465.05,275431.0
2026-05-05,464.0,469.9,433.0,442.95,1497357.0
2026-05-06,457.15,527.95,445.65,518.65,6966756.0
2026-05-07,518.65,544.0,508.0,513.8,2990107.0
2026-05-08,513.8,521.6,505.6,515.7,904451.0
