date,open,high,low,close,volume
2025-09-09,691.32,693.42,689.37,690.85,18678.0
2025-09-10,692.0,697.1,692.0,694.65,6916.0
2025-09-11,694.65,698.12,693.32,697.37,12617.0
2025-09-12,697.46,699.7,697.19,698.72,8205.0
2025-09-15,701.99,704.1,700.04,702.21,13085.0
2025-09-16,704.05,708.33,704.05,707.7,11935.0
2025-09-17,710.0,710.6,705.97,709.59,17383.0
2025-09-18,709.64,711.79,706.77,710.79,20764.0
2025-09-19,714.34,715.0,711.25,714.27,14172.0
2025-09-22,699.98,721.99,699.97,717.8,8509.0
2025-09-23,721.26,721.26,711.49,714.66,14015.0
2025-09-24,717.1,717.1,705.24,706.28,25407.0
2025-09-25,706.29,709.11,699.05,700.81,8511.0
2025-09-26,700.0,700.0,688.0,689.06,46969.0
2025-09-29,709.73,709.73,688.87,695.25,12519.0
2025-09-30,698.13,698.6,693.01,696.02,11532.0
2025-10-01,697.29,699.64,693.34,698.84,17152.0
2025-10-03,696.39,702.26,696.09,700.38,8910.0
2025-10-06,702.87,704.12,698.27,703.41,31753.0
2025-10-07,703.41,706.63,702.07,702.73,9034.0
2025-10-08,704.06,704.91,697.76,699.7,15684.0
2025-10-09,694.1,702.6,694.1,702.11,22169.0
2025-10-10,704.11,706.71,701.45,703.84,11328.0
2025-10-13,702.68,703.02,698.25,702.67,8203.0
2025-10-14,703.79,706.15,697.0,699.54,18622.0
2025-10-15,701.6,708.57,700.14,707.88,24174.0
2025-10-16,711.42,713.26,708.07,711.87,11045.0
2025-10-17,712.42,713.03,707.43,710.11,26124.0
2025-10-20,713.66,714.56,710.12,710.5,29251.0
2025-10-21,719.99,722.57,711.28,713.58,4827.0
2025-10-23,714.58,717.1,710.07,711.75,8325.0
2025-10-24,711.75,714.45,709.68,710.43,5449.0
2025-10-27,713.99,714.82,710.45,712.65,15190.0
2025-10-28,716.21,716.21,708.49,708.86,21775.0
2025-10-29,712.55,721.0,710.53,719.71,28652.0
2025-10-30,723.3,723.3,716.21,719.42,33279.0
2025-10-31,719.42,721.45,714.44,716.44,10105.0
2025-11-03,722.88,722.95,717.12,721.79,10325.0
2025-11-04,723.71,723.76,718.99,720.4,9801.0
2025-11-06,724.0,724.0,711.0,711.32,15460.0
2025-11-07,707.84,714.65,702.08,712.4,78182.0
2025-11-10,713.31,717.65,713.12,714.86,9853.0
2025-11-11,712.59,716.1,707.28,714.06,15115.0
2025-11-12,716.85,718.98,714.5,716.11,7223.0
2025-11-13,716.16,719.62,714.97,716.97,15033.0
2025-11-14,715.41,720.33,713.5,716.96,9964.0
2025-11-17,718.98,721.29,716.33,718.44,19159.0
2025-11-18,718.44,719.47,714.0,714.96,10677.0
2025-11-19,713.24,716.56,711.95,714.0,4692.0
2025-11-20,717.43,717.67,713.0,714.74,20603.0
2025-11-21,710.74,712.5,704.0,705.17,59337.0
2025-11-24,705.17,705.17,697.0,698.73,124475.0
2025-11-25,701.61,701.61,698.0,700.23,39867.0
2025-11-26,701.61,710.7,700.22,710.34,12292.0
2025-11-27,711.0,712.0,705.52,708.23,4962.0
2025-11-28,709.59,710.64,706.93,709.81,6309.0
2025-12-01,715.04,715.04,708.78,711.16,22192.0
2025-12-02,732.49,732.49,707.29,708.69,29106.0
2025-12-03,712.02,712.03,700.23,702.08,23241.0
2025-12-04,705.08,706.0,701.43,702.95,3526.0
2025-12-05,703.57,706.25,700.0,705.67,29243.0
2025-12-08,705.67,705.67,688.7,689.93,202424.0
2025-12-09,689.94,695.82,682.0,695.65,25030.0
2025-12-10,696.9,700.87,693.0,694.14,54216.0
2025-12-11,697.0,698.99,689.75,697.89,11136.0
2025-12-12,701.38,703.33,697.23,702.0,18301.0
2025-12-15,702.01,703.69,697.97,703.32,8583.0
2025-12-16,701.8,704.14,698.0,701.05,5378.0
2025-12-17,701.05,703.95,697.5,698.9,7202.0
2025-12-18,697.87,698.4,691.7,695.45,10607.0
2025-12-19,700.57,702.78,695.83,702.33,10439.0
2025-12-22,705.84,707.72,702.34,706.77,16146.0
2025-12-23,685.57,710.31,685.57,708.85,10335.0
2025-12-24,712.39,712.39,705.33,707.46,18889.0
2025-12-26,706.08,710.99,705.11,707.59,12956.0
2025-12-29,728.82,728.82,702.6,705.03,16992.0
2025-12-30,703.85,706.7,700.54,704.85,16295.0
2025-12-31,707.39,714.0,706.34,711.35,9958.0
2026-01-01,712.1,715.66,710.67,715.31,9802.0
2026-01-02,715.99,723.56,715.37,723.09,22328.0
2026-01-05,732.12,732.12,719.61,722.05,15195.0
2026-01-06,722.05,725.0,720.51,723.87,10380.0
2026-01-07,725.49,726.94,722.66,724.74,8766.0
2026-01-08,729.63,729.63,709.6,710.9,21146.0
2026-01-09,709.31,713.72,701.12,702.41,53843.0
2026-01-12,704.02,706.29,694.9,704.94,22064.0
2026-01-13,709.81,709.81,698.0,702.16,26203.0
2026-01-14,702.17,708.0,698.51,706.75,31623.0
2026-01-16,689.08,711.99,689.08,707.39,160874.0
2026-01-19,725.07,725.07,703.1,706.56,59562.0
2026-01-20,703.03,706.12,686.27,689.04,301291.0
2026-01-21,684.65,690.87,677.0,685.37,159581.0
2026-01-22,691.9,697.59,690.03,694.55,35497.0
2026-01-23,698.77,698.77,677.96,680.21,77089.0
2026-01-27,684.71,686.63,676.82,684.82,91294.0
2026-01-28,692.35,705.36,684.11,700.41,20179.0
2026-01-29,701.25,702.77,695.13,701.34,23406.0
2026-01-30,701.34,701.34,691.77,696.78,18219.0
2026-02-01,688.8,698.0,671.1,681.14,38532.0
2026-02-02,684.55,690.8,673.5,688.71,22076.0
2026-02-03,714.98,714.98,702.51,707.14,34815.0
2026-02-04,724.81,724.81,685.93,712.14,40618.0
2026-02-05,704.98,709.8,704.0,707.04,17636.0
2026-02-06,707.04,709.78,699.23,708.37,8483.0
2026-02-09,711.91,716.34,709.0,715.3,18589.0
2026-02-10,714.38,717.66,713.88,716.57,10165.0
2026-02-11,720.16,721.0,715.22,719.46,38978.0
2026-02-12,719.01,719.06,714.31,717.43,13602.0
2026-02-13,711.46,711.46,703.76,707.07,101168.0
2026-02-16,708.5,714.95,703.02,713.8,17327.0
2026-02-17,711.0,718.18,711.0,716.78,29732.0
2026-02-18,720.33,723.06,716.33,721.48,9128.0
2026-02-19,725.08,725.08,707.0,709.88,18118.0
2026-02-20,711.66,715.6,707.84,713.05,7741.0
2026-02-23,717.27,719.7,713.29,715.17,16351.0
2026-02-24,713.69,718.86,710.0,716.65,10231.0
2026-02-25,738.15,738.15,716.74,722.87,15072.0
2026-02-26,725.36,726.06,720.9,725.18,12738.0
2026-02-27,728.8,728.8,715.44,717.42,19574.0
2026-03-02,700.74,710.2,696.83,706.13,127515.0
2026-03-04,696.27,696.27,683.86,686.96,94490.0
2026-03-05,692.42,697.35,689.7,696.24,64108.0
2026-03-06,694.61,699.84,693.1,694.1,17767.0
2026-03-09,694.1,694.1,667.04,678.17,100854.0
2026-03-10,688.14,693.02,682.85,691.22,34862.0
2026-03-11,694.68,696.07,681.38,683.42,29151.0
2026-03-12,680.01,687.14,670.98,682.9,36998.0
2026-03-13,682.0,683.51,662.97,665.16,67865.0
2026-03-16,667.53,669.41,653.76,662.98,70228.0
2026-03-17,664.74,670.24,661.0,669.02,39567.0
2026-03-18,670.8,677.73,669.02,674.38,95972.0
2026-03-19,667.44,667.75,651.5,654.44,70992.0
2026-03-20,661.51,667.25,654.75,656.18,38258.0
2026-03-23,672.58,672.58,630.0,630.57,195993.0
2026-03-24,649.49,649.49,631.76,640.89,42852.0
2026-03-25,656.91,657.99,648.75,653.22,84071.0
2026-03-27,656.76,656.76,635.71,637.97,78921.0
2026-03-30,631.67,635.99,620.0,621.27,121868.0
2026-04-01,621.27,643.8,621.27,636.07,96237.0
2026-04-02,651.97,651.97,617.0,637.56,66233.0
2026-04-06,642.12,648.45,634.66,647.92,92386.0
2026-04-07,664.11,664.11,639.0,649.02,194071.0
2026-04-08,675.0,682.57,670.24,681.55,52808.0
2026-04-09,679.0,685.82,675.85,682.69,26655.0
2026-04-10,686.7,697.42,683.52,696.93,53845.0
2026-04-13,684.97,693.29,676.37,689.81,50478.0
2026-04-15,699.0,706.43,699.0,705.7,31451.0
2026-04-16,713.33,715.14,706.73,712.65,28696.0
2026-04-17,717.53,724.21,712.25,724.01,54497.0
2026-04-20,705.9,728.0,705.9,724.35,32459.0
2026-04-21,727.98,730.79,725.99,728.55,16149.0
2026-04-22,728.55,736.37,728.55,735.2,27936.0
2026-04-23,733.9,734.25,723.07,725.35,43987.0
2026-04-24,728.39,728.39,713.11,719.54,114955.0
2026-04-27,721.61,729.99,721.61,729.12,27635.0
2026-04-28,729.12,730.78,725.2,726.08,19282.0
2026-04-29,730.0,730.96,724.5,725.55,13617.0
2026-04-30,725.55,725.55,711.55,718.07,44712.0
2026-05-04,736.02,736.02,720.01,723.29,25171.0
2026-05-05,722.28,728.84,721.19,728.27,14394.0
2026-05-06,733.12,738.1,729.05,737.82,22164.0
2026-05-07,740.05,741.3,738.0,740.31,17309.0
2026-05-08,739.93,740.8,736.0,737.02,13924.0
