date,open,high,low,close,volume
2025-05-09,103.97,104.5,102.81,104.15,252506.0
2025-05-12,107.0,108.18,105.03,108.08,1061391.0
2025-05-13,107.05,108.9,107.05,107.4,671242.0
2025-05-14,109.27,109.27,107.4,107.93,289715.0
2025-05-15,109.44,109.5,107.24,109.18,1158132.0
2025-05-16,107.2,110.0,107.2,109.62,481524.0
2025-05-19,109.01,110.97,109.01,109.79,266896.0
2025-05-20,110.25,110.73,108.77,108.87,657216.0
2025-05-21,110.8,110.8,108.75,109.52,309957.0
2025-05-22,111.4,111.4,107.82,108.54,246695.0
2025-05-23,108.8,109.9,108.3,109.68,204026.0
2025-05-26,110.97,110.97,109.77,110.36,444925.0
2025-05-27,112.8,112.8,109.14,109.65,254722.0
2025-05-28,109.81,109.82,109.01,109.53,174549.0
2025-05-29,111.6,111.6,109.12,109.56,167519.0
2025-05-30,111.3,111.3,108.95,109.24,441048.0
2025-06-02,110.96,110.96,108.14,109.74,222245.0
2025-06-03,111.7,111.7,107.6,108.9,576375.0
2025-06-04,111.2,111.2,108.42,108.92,672442.0
2025-06-05,111.2,111.2,108.02,109.12,338562.0
2025-06-06,110.9,110.9,108.26,109.88,290484.0
2025-06-09,110.98,111.2,109.02,111.07,528740.0
2025-06-10,113.1,113.1,111.08,111.45,264809.0
2025-06-11,113.2,113.2,109.4,111.8,422486.0
2025-06-12,113.0,113.0,109.6,109.93,380283.0
2025-06-13,112.67,112.67,107.49,109.08,381373.0
2025-06-16,107.52,110.0,107.52,109.91,253750.0
2025-06-17,111.7,111.7,109.02,109.82,346041.0
2025-06-18,108.0,110.91,108.0,109.17,258164.0
2025-06-19,110.9,110.9,108.0,108.27,257398.0
2025-06-20,111.52,111.52,107.51,109.53,238668.0
2025-06-23,110.8,110.8,107.6,109.43,404847.0
2025-06-24,108.9,110.4,107.5,109.35,412810.0
2025-06-25,109.35,110.29,109.21,109.27,408828.0
2025-06-26,110.8,110.8,109.21,110.62,326863.0
2025-06-27,112.6,112.6,109.52,111.0,524018.0
2025-06-30,111.87,111.87,110.51,110.97,373913.0
2025-07-01,111.4,111.5,110.45,110.57,600934.0
2025-07-02,111.2,111.49,109.72,110.25,1096058.0
2025-07-03,111.5,111.5,109.83,110.07,231198.0
2025-07-04,110.0,110.5,108.7,110.38,177158.0
2025-07-07,108.6,111.47,108.6,110.16,170479.0
2025-07-08,111.8,111.8,109.11,110.88,736271.0
2025-07-09,112.6,112.6,110.3,110.39,247527.0
2025-07-10,108.8,111.8,108.8,110.14,200111.0
2025-07-11,111.39,111.4,109.6,109.75,147449.0
2025-07-14,109.1,111.1,109.1,109.68,429959.0
2025-07-15,111.0,111.0,109.04,110.07,181625.0
2025-07-17,112.99,112.99,107.48,109.93,176149.0
2025-07-18,111.2,111.2,108.96,109.05,276433.0
2025-07-21,110.4,110.4,108.02,109.36,238379.0
2025-07-22,110.6,110.6,109.0,109.04,395636.0
2025-07-23,110.5,110.5,107.7,109.45,306173.0
2025-07-24,110.2,110.2,108.54,108.92,659348.0
2025-07-25,110.5,110.5,107.29,107.42,402126.0
2025-07-28,108.6,108.6,106.55,106.75,141006.0
2025-07-29,105.4,107.47,105.4,107.34,121179.0
2025-07-30,107.79,108.59,107.53,108.06,100195.0
2025-07-31,111.3,111.3,106.14,107.53,448553.0
2025-08-01,108.39,108.39,106.35,106.56,381914.0
2025-08-04,108.1,108.1,106.0,107.57,488916.0
2025-08-05,106.3,108.4,106.3,107.63,347501.0
2025-08-06,108.6,108.6,106.87,107.37,342709.0
2025-08-07,104.68,108.3,104.68,107.33,163202.0
2025-08-08,106.1,108.4,106.1,107.0,118809.0
2025-08-11,107.0,108.0,106.96,107.94,139338.0
2025-08-12,108.9,108.9,107.41,108.24,361325.0
2025-08-13,109.0,109.0,107.85,108.41,222758.0
2025-08-14,108.9,108.9,107.4,107.89,193524.0
2025-08-18,107.52,109.0,107.52,107.7,322224.0
2025-08-19,110.93,110.93,107.0,107.86,91940.0
2025-08-20,107.78,108.47,107.61,107.73,106865.0
2025-08-21,108.8,108.8,106.5,107.29,294226.0
2025-08-22,107.45,107.69,106.5,106.58,345354.0
2025-08-25,106.58,107.8,106.0,106.75,334285.0
2025-08-26,107.9,107.9,105.39,105.53,286992.0
2025-08-28,104.1,106.8,104.1,104.97,401208.0
2025-08-29,103.6,105.75,103.6,105.37,125655.0
2025-09-01,108.53,108.53,104.2,106.35,205564.0
2025-09-02,107.6,107.6,106.31,106.99,193449.0
2025-09-03,107.4,108.09,106.61,107.99,502448.0
2025-09-04,109.7,109.7,107.15,107.35,173102.0
2025-09-05,106.1,108.8,106.1,107.17,157278.0
2025-09-08,106.2,108.3,106.2,106.77,202482.0
2025-09-09,107.8,107.8,106.4,106.47,178369.0
2025-09-10,107.4,107.75,106.47,107.54,267222.0
2025-09-11,108.5,108.79,107.53,108.55,204748.0
2025-09-12,109.11,109.25,108.06,109.08,360668.0
2025-09-15,107.8,109.97,107.8,109.14,334387.0
2025-09-16,110.0,110.25,108.77,110.19,491441.0
2025-09-17,109.71,110.88,109.1,110.68,389959.0
2025-09-18,112.15,112.15,110.35,110.82,491531.0
2025-09-19,111.32,111.32,110.4,110.92,504015.0
2025-09-22,110.0,111.39,110.0,110.63,347032.0
2025-09-23,110.9,111.24,110.13,111.0,412350.0
2025-09-24,109.7,111.42,109.7,110.82,383353.0
2025-09-25,109.6,111.9,109.6,110.26,401625.0
2025-09-26,109.5,111.4,108.8,109.83,246041.0
2025-09-29,111.0,111.0,109.83,110.52,277164.0
2025-09-30,109.35,111.0,109.35,110.54,178097.0
2025-10-01,109.4,111.5,109.4,111.02,310924.0
2025-10-03,111.96,112.32,110.86,112.19,583334.0
2025-10-06,112.19,113.4,111.49,112.23,413827.0
2025-10-07,113.4,113.4,111.1,111.91,210634.0
2025-10-08,112.3,112.3,111.26,111.31,404659.0
2025-10-09,111.75,112.2,111.17,111.98,354046.0
2025-10-10,112.46,113.06,111.7,112.6,551191.0
2025-10-13,113.8,113.8,111.5,112.61,468799.0
2025-10-14,113.1,113.1,111.3,111.44,488365.0
2025-10-15,112.03,112.95,111.12,112.7,388101.0
2025-10-16,113.49,113.59,112.77,113.44,460651.0
2025-10-17,114.15,114.15,113.05,113.48,435525.0
2025-10-20,113.99,114.5,113.47,114.32,570787.0
2025-10-21,113.6,114.66,113.6,114.56,144318.0
2025-10-23,113.8,115.85,113.8,115.01,799489.0
2025-10-24,113.81,116.01,113.81,114.96,459711.0
2025-10-27,116.0,116.0,114.0,115.81,480876.0
2025-10-28,116.5,116.5,115.14,115.61,183488.0
2025-10-29,114.51,116.95,114.51,116.69,721073.0
2025-10-30,117.26,117.28,116.41,116.6,373025.0
2025-10-31,117.34,118.76,116.29,116.71,209759.0
2025-11-03,117.9,117.9,116.22,116.76,532366.0
2025-11-04,117.0,117.0,115.5,115.61,653300.0
2025-11-06,114.62,116.11,114.55,114.65,496829.0
2025-11-07,113.5,115.35,113.2,114.98,356361.0
2025-11-10,116.12,116.12,114.8,115.69,179864.0
2025-11-11,116.9,116.9,115.08,116.51,485335.0
2025-11-12,116.79,117.19,116.17,116.68,168661.0
2025-11-13,117.49,117.49,116.13,116.56,192931.0
2025-11-14,116.73,117.39,116.0,117.16,389867.0
2025-11-17,118.6,118.6,117.17,117.58,283993.0
2025-11-18,118.46,118.46,116.5,117.1,131538.0
2025-11-19,118.2,118.2,116.54,117.09,119060.0
2025-11-20,117.67,117.84,117.2,117.39,243765.0
2025-11-21,116.81,117.38,116.61,116.68,96414.0
2025-11-24,117.18,117.18,115.59,115.78,137289.0
2025-11-25,114.6,116.58,114.6,115.68,214142.0
2025-11-26,115.7,117.2,115.69,117.1,240181.0
2025-11-27,116.12,117.98,116.12,116.92,133382.0
2025-11-28,116.21,117.99,116.11,116.44,153880.0
2025-12-01,117.54,117.54,116.08,116.59,402419.0
2025-12-02,115.49,117.5,115.49,116.29,321702.0
2025-12-03,118.46,118.46,115.0,115.38,296831.0
2025-12-04,116.0,116.0,115.02,115.76,419699.0
2025-12-05,118.65,118.65,115.35,116.38,266571.0
2025-12-08,118.36,118.36,114.56,114.91,467068.0
2025-12-09,116.0,116.0,113.61,114.97,268921.0
2025-12-10,114.0,116.08,114.0,114.88,253473.0
2025-12-11,117.75,117.75,114.39,115.03,329887.0
2025-12-12,115.03,116.14,115.03,115.82,331866.0
2025-12-15,118.71,118.71,115.22,115.99,157042.0
2025-12-16,114.6,116.5,114.6,114.95,331159.0
2025-12-17,115.65,115.65,114.7,115.12,130212.0
2025-12-18,112.24,115.83,112.24,114.68,107483.0
2025-12-19,111.81,115.59,111.81,115.42,323876.0
2025-12-22,118.3,118.3,114.2,116.14,312383.0
2025-12-23,116.5,117.07,115.79,116.65,230126.0
2025-12-24,116.65,117.41,116.53,116.71,356010.0
2025-12-26,118.0,118.0,115.62,116.74,247718.0
2025-12-29,117.5,117.5,115.7,116.34,1618657.0
2025-12-30,117.64,117.64,115.98,116.87,590660.0
2025-12-31,120.38,120.38,116.85,118.27,311560.0
2026-01-01,118.28,118.61,117.12,117.46,318846.0
2026-01-02,120.98,120.98,116.36,119.1,565744.0
2026-01-05,116.12,120.2,116.12,119.21,335776.0
2026-01-06,120.0,120.0,118.7,119.65,816829.0
2026-01-07,118.6,123.24,118.6,119.34,252156.0
2026-01-08,118.75,122.92,116.88,117.04,414865.0
2026-01-09,118.38,118.38,116.06,116.86,241686.0
2026-01-12,117.96,117.96,115.67,117.51,219627.0
2026-01-13,120.44,120.44,116.2,117.0,629682.0
2026-01-14,118.0,118.5,115.8,118.32,447464.0
2026-01-16,120.0,120.0,117.31,117.61,158633.0
2026-01-19,116.4,118.58,116.4,117.78,145801.0
2026-01-20,119.2,119.2,115.6,115.93,321680.0
2026-01-21,119.41,119.42,114.48,115.37,362397.0
2026-01-22,118.83,118.83,114.6,116.65,554141.0
2026-01-23,117.44,117.55,115.11,115.22,257987.0
2026-01-27,116.32,117.25,115.58,116.92,491415.0
2026-01-28,117.05,120.05,116.98,119.99,574277.0
2026-01-29,118.99,122.35,118.8,122.1,489614.0
2026-01-30,123.24,123.24,120.04,120.64,586092.0
2026-02-01,121.84,121.84,115.15,116.61,466961.0
2026-02-02,116.9,120.0,115.25,118.59,474361.0
2026-02-03,118.7,123.69,118.7,120.97,988019.0
2026-02-04,120.98,122.87,120.48,122.7,1050802.0
2026-02-05,123.3,123.3,121.46,122.02,543581.0
2026-02-06,123.12,123.12,121.13,122.72,802767.0
2026-02-09,126.4,126.4,121.5,123.97,628778.0
2026-02-10,127.69,127.69,123.87,124.48,2045151.0
2026-02-11,123.48,125.68,123.48,125.07,796996.0
2026-02-12,128.19,128.19,123.9,125.12,1050532.0
2026-02-13,122.1,128.24,122.1,123.29,663231.0
2026-02-16,121.11,126.99,121.11,124.98,770001.0
2026-02-17,122.3,126.0,122.3,125.69,850222.0
2026-02-18,128.83,128.83,124.93,126.73,651173.0
2026-02-19,127.98,127.98,124.65,125.03,590892.0
2026-02-20,128.15,128.15,124.71,126.52,1039637.0
2026-02-23,127.18,129.98,125.54,127.24,857105.0
2026-02-24,128.54,128.54,125.79,127.09,879977.0
2026-02-25,126.0,128.81,125.7,127.91,984138.0
2026-02-26,127.92,128.28,126.85,128.02,818795.0
2026-02-27,128.02,128.49,126.9,127.18,807208.0
2026-03-02,131.0,131.0,123.8,125.51,1458556.0
2026-03-04,125.5,125.5,122.01,122.63,1638314.0
2026-03-05,122.63,126.0,121.07,125.52,907530.0
2026-03-06,124.52,126.1,122.38,124.42,863421.0
2026-03-09,124.42,128.15,120.08,121.34,1105086.0
2026-03-10,121.42,123.9,121.06,122.39,1076583.0
2026-03-11,126.06,126.06,121.5,121.78,713380.0
2026-03-12,123.0,123.11,119.95,122.13,646029.0
2026-03-13,122.08,122.09,118.09,118.31,815839.0
2026-03-16,118.02,118.9,115.84,117.59,895065.0
2026-03-17,121.12,121.12,117.32,118.9,714105.0
2026-03-18,120.1,120.1,118.91,119.46,582719.0
2026-03-19,118.99,118.99,116.25,117.05,470139.0
2026-03-20,117.22,119.11,116.34,116.93,973124.0
2026-03-23,116.8,116.8,112.85,113.34,1314345.0
2026-03-24,116.74,116.74,113.2,114.47,1910538.0
2026-03-25,117.33,117.33,115.03,116.53,703472.0
2026-03-27,116.53,116.53,115.19,115.38,842089.0
2026-03-30,118.84,118.84,113.66,113.97,909526.0
2026-04-01,117.39,117.39,114.01,116.65,574868.0
2026-04-02,120.15,120.15,113.01,115.83,609745.0
2026-04-06,119.3,119.3,115.16,117.61,2034022.0
2026-04-07,121.14,121.14,116.06,118.11,1427860.0
2026-04-08,121.06,121.97,120.4,121.24,1086981.0
2026-04-09,121.83,121.84,120.5,121.12,1016945.0
2026-04-10,121.15,122.59,121.13,122.07,804056.0
2026-04-13,122.07,122.07,119.76,121.51,1026388.0
2026-04-15,124.5,124.5,121.57,123.87,798497.0
2026-04-16,124.32,124.91,123.56,123.88,1749913.0
2026-04-17,126.97,126.97,123.94,125.15,655979.0
2026-04-20,125.69,125.89,124.25,125.06,679685.0
2026-04-21,125.07,125.95,123.92,125.56,718998.0
2026-04-22,125.55,126.07,125.13,125.76,571466.0
2026-04-23,125.76,126.03,125.0,125.59,412130.0
2026-04-24,126.8,126.8,124.4,124.98,595693.0
2026-04-27,127.48,127.48,124.98,125.77,471453.0
2026-04-28,125.77,126.48,125.24,125.66,633488.0
2026-04-29,125.8,127.47,125.55,126.33,451600.0
2026-04-30,125.83,126.82,123.17,124.46,631436.0
2026-05-04,125.71,125.77,123.5,124.73,895416.0
2026-05-05,128.47,128.47,123.41,124.26,1432978.0
2026-05-06,125.99,125.99,123.31,124.55,917231.0
2026-05-07,127.03,127.03,124.06,124.32,521431.0
2026-05-08,124.74,124.74,122.65,122.91,524033.0
