date,open,high,low,close,volume
2025-10-03,204.7,205.36,204.48,205.35,248.0
2025-10-06,205.0,206.66,204.8,206.65,5433.0
2025-10-07,207.3,207.34,206.25,206.85,4149.0
2025-10-08,206.84,207.16,205.96,206.25,469.0
2025-10-09,207.05,207.51,206.33,207.51,278.0
2025-10-10,207.63,209.01,207.63,208.35,1920.0
2025-10-13,208.07,208.54,207.76,207.87,7772.0
2025-10-14,208.16,208.16,206.78,207.33,107.0
2025-10-15,208.55,209.42,208.55,209.32,285.0
2025-10-16,209.59,211.57,209.59,211.01,2667.0
2025-10-17,211.67,213.19,211.67,212.55,2899.0
2025-10-20,213.59,214.09,213.07,214.07,393.0
2025-10-21,214.08,214.43,213.78,214.04,284.0
2025-10-23,214.5,215.99,214.25,214.35,1843.0
2025-10-24,213.15,213.15,212.13,213.09,1059.0
2025-10-27,213.04,214.35,212.99,214.35,879.0
2025-10-28,214.15,214.15,212.8,213.27,189.0
2025-10-29,213.96,214.41,213.63,214.41,77.0
2025-10-30,213.33,213.34,212.22,212.27,603.0
2025-10-31,212.21,212.21,211.35,211.35,1249.0
2025-11-03,211.02,211.45,210.6,211.32,358.0
2025-11-04,211.03,211.03,210.31,210.55,173.0
2025-11-06,211.11,211.44,210.15,210.9,262.0
2025-11-07,209.56,210.36,209.31,210.36,1135.0
2025-11-10,210.89,212.06,210.89,211.55,610.0
2025-11-11,210.61,211.82,210.5,211.82,307.0
2025-11-12,212.52,213.57,212.52,213.57,278.0
2025-11-13,213.57,214.67,213.57,213.98,370.0
2025-11-14,213.26,214.26,212.86,214.11,494.0
2025-11-17,213.73,214.77,213.73,214.12,122.0
2025-11-18,213.4,214.4,213.01,213.97,126.0
2025-11-19,214.8,214.81,214.7,214.73,9977.0
2025-11-20,215.0,215.71,214.91,214.94,16022.0
2025-11-21,214.94,215.5,214.23,214.8,1060.0
2025-11-24,215.11,215.33,213.73,214.13,239.0
2025-11-25,213.73,214.39,213.37,213.87,1133.0
2025-11-26,214.78,215.87,214.78,215.87,2106.0
2025-11-27,215.87,216.44,214.77,215.57,1013.0
2025-11-28,215.56,215.6,214.98,215.52,1774.0
2025-12-01,215.8,215.84,214.61,214.71,832.0
2025-12-02,215.18,215.18,214.49,214.65,289.0
2025-12-03,214.76,214.77,214.09,214.76,1449.0
2025-12-04,215.75,215.75,215.75,215.75,1.0
2025-12-05,215.99,216.5,215.75,216.49,163.0
2025-12-08,216.0,216.02,214.0,214.42,11817.0
2025-12-09,213.71,214.55,213.0,213.11,1348.0
2025-12-10,213.6,214.46,213.31,213.63,276.0
2025-12-11,212.96,214.49,212.96,214.45,710.0
2025-12-12,215.03,215.03,214.34,214.78,662.0
2025-12-15,214.78,215.76,214.34,215.75,1085.0
2025-12-16,215.51,215.55,214.87,215.06,1945.0
2025-12-17,214.65,214.65,213.7,213.7,322.0
2025-12-18,213.7,214.47,213.69,214.19,4203.0
2025-12-19,214.54,214.91,214.54,214.56,537.0
2025-12-22,215.86,216.38,215.61,216.38,3267.0
2025-12-23,214.21,216.93,214.21,216.63,322.0
2025-12-24,216.04,216.44,216.04,216.25,16.0
2025-12-26,216.25,216.25,215.55,215.78,1776.0
2025-12-29,215.5,215.5,214.78,214.98,610.0
2025-12-30,214.05,214.79,214.05,214.74,716.0
2025-12-31,215.15,215.86,214.79,215.86,887.0
2026-01-01,215.82,216.11,215.79,216.04,92.0
2026-01-02,215.8,216.93,215.35,216.93,1069.0
2026-01-05,217.0,218.01,216.45,217.19,5551.0
2026-01-06,217.25,218.16,217.25,217.77,456.0
2026-01-07,218.13,219.1,217.68,218.6,1785.0
2026-01-08,217.36,217.91,215.85,215.85,2232.0
2026-01-09,216.08,216.51,214.33,214.37,1158.0
2026-01-12,214.5,215.86,213.7,215.86,2371.0
2026-01-13,215.04,215.36,214.7,214.7,1598.0
2026-01-14,214.7,214.7,213.7,213.79,177.0
2026-01-16,215.34,215.34,214.49,214.49,7.0
2026-01-19,212.81,213.46,212.63,212.72,751.0
2026-01-20,212.63,212.71,209.41,210.48,5061.0
2026-01-21,210.3,210.3,208.03,209.22,3686.0
2026-01-22,210.94,210.94,209.57,210.93,4536.0
2026-01-23,211.4,211.47,209.4,209.63,246.0
2026-01-27,210.25,210.38,208.39,209.7,516.0
2026-01-28,209.47,209.54,209.0,209.07,2094.0
2026-01-29,207.98,208.37,206.97,208.15,5320.0
2026-01-30,208.15,208.93,207.93,208.74,687.0
2026-02-01,209.38,209.66,205.41,205.98,88.0
2026-02-02,205.98,208.2,205.75,208.15,63.0
2026-02-03,212.4,213.03,211.75,211.75,561.0
2026-02-04,211.28,211.49,211.25,211.49,1187.0
2026-02-05,211.44,211.44,210.06,210.23,2010.0
2026-02-06,209.58,210.5,209.58,210.21,683.0
2026-02-09,211.57,212.82,211.57,212.82,1220.0
2026-02-10,213.14,213.29,212.28,213.02,1014.0
2026-02-11,213.79,213.82,213.15,213.79,3128.0
2026-02-12,213.79,213.79,212.16,212.16,1499.0
2026-02-13,210.82,211.21,210.09,210.1,3395.0
2026-02-16,211.15,211.15,210.1,211.13,2326.0
2026-02-17,211.61,212.81,211.61,212.44,181.0
2026-02-18,212.35,213.4,212.35,213.4,378.0
2026-02-19,213.61,213.61,210.27,210.9,534.0
2026-02-20,211.57,211.78,211.03,211.59,946.0
2026-02-23,212.64,213.06,211.72,212.65,564.0
2026-02-24,211.87,211.97,211.38,211.56,90.0
2026-02-25,212.27,212.64,212.27,212.64,10.0
2026-02-26,212.05,212.05,212.05,212.05,2.0
2026-02-27,210.69,210.95,210.11,210.31,157.0
2026-03-02,207.24,207.98,205.66,207.45,1157.0
2026-03-04,203.63,205.16,202.95,204.23,1428.0
2026-03-05,204.98,206.06,203.81,205.52,674.0
2026-03-06,205.0,205.0,204.44,204.86,28.0
2026-03-09,198.67,200.12,198.01,200.0,4677.0
2026-03-10,201.0,202.59,200.96,202.59,998.0
2026-03-11,202.23,202.23,199.95,199.95,388.0
2026-03-12,197.75,198.98,197.75,197.75,2179.0
2026-03-13,196.77,196.85,194.0,194.23,2084.0
2026-03-16,194.16,195.55,192.61,195.55,18497.0
2026-03-17,195.13,196.32,194.71,195.95,2938.0
2026-03-18,197.35,197.77,197.28,197.38,2439.0
2026-03-19,193.67,193.79,191.2,191.55,4916.0
2026-03-20,193.11,194.49,192.83,193.06,4508.0
2026-03-23,189.83,190.2,188.0,188.6,5139.0
2026-03-24,189.54,192.38,189.01,190.53,3249.0
2026-03-25,195.48,195.48,194.66,194.74,62.0
2026-03-27,195.71,195.71,191.62,191.63,4421.0
2026-03-30,188.84,190.11,187.25,187.42,10379.0
2026-04-01,190.55,190.59,188.75,188.75,2829.0
2026-04-02,185.78,189.26,185.27,189.26,786.0
2026-04-06,183.58,192.0,183.58,191.82,2107.0
2026-04-07,191.34,193.18,190.84,192.78,3293.0
2026-04-08,198.24,199.44,198.13,198.6,4006.0
2026-04-09,204.56,204.56,197.92,198.24,1275.0
2026-04-10,199.23,200.49,199.23,200.12,543.0
2026-04-13,200.0,200.0,196.86,197.83,2486.0
2026-04-15,200.89,201.78,199.95,201.17,15187.0
2026-04-16,201.17,202.33,200.65,201.17,5590.0
2026-04-17,200.84,203.33,200.84,203.32,5140.0
2026-04-20,203.3,203.72,202.01,203.23,2523.0
2026-04-21,203.25,204.66,203.23,204.24,1554.0
2026-04-22,203.71,203.8,202.96,203.16,2682.0
2026-04-23,202.0,203.0,201.13,202.6,123.0
2026-04-24,201.0,201.0,199.94,199.99,276.0
2026-04-27,200.93,202.57,200.93,201.53,21875.0
2026-04-28,201.53,202.61,200.59,200.59,2777.0
2026-04-29,201.74,203.16,201.74,201.88,327.0
2026-04-30,201.88,201.88,199.5,201.73,757.0
2026-05-04,202.5,203.36,201.58,202.03,1032.0
2026-05-05,201.28,202.02,201.25,202.01,94.0
2026-05-07,204.32,205.35,204.32,204.85,546.0
2026-05-08,204.36,204.42,203.23,204.42,155.0
